UF,Total,Tipo
Acre,53,Gato
Acre,120,Cachorro
Alagoas,216,Gato
Alagoas,323,Cachorro
Amapá,42,Gato
Amapá,81,Cachorro
Amazonas,171,Gato
Amazonas,404,Cachorro
Bahia,1016,Gato
Bahia,1691,Cachorro
Ceará,752,Gato
Ceará,944,Cachorro
Distrito Federal,62,Gato
Distrito Federal,293,Cachorro
Espírito Santo,143,Gato
Espírito Santo,494,Cachorro
Goiás,268,Gato
Goiás,1115,Cachorro
Maranhão,577,Gato
Maranhão,794,Cachorro
Mato Grosso,212,Gato
Mato Grosso,605,Cachorro
Mato Grosso do Sul,168,Gato
Mato Grosso do Sul,457,Cachorro
Minas Gerais,1019,Gato
Minas Gerais,3256,Cachorro
Pará,493,Gato
Pará,1045,Cachorro
Paraíba,262,Gato
Paraíba,450,Cachorro
Paraná,597,Gato
Paraná,2183,Cachorro
Pernambuco,537,Gato
Pernambuco,947,Cachorro
Piauí,323,Gato
Piauí,445,Cachorro
Rio de Janeiro,748,Gato
Rio de Janeiro,2117,Cachorro
Rio Grande do Norte,194,Gato
Rio Grande do Norte,375,Cachorro
Rio Grande do Sul,920,Gato
Rio Grande do Sul,2384,Cachorro
Rondônia,149,Gato
Rondônia,305,Cachorro
Roraima,29,Gato
Roraima,64,Cachorro
Santa Catarina,369,Gato
Santa Catarina,1256,Cachorro
São Paulo,1950,Gato
São Paulo,6289,Cachorro
Sergipe,137,Gato
Sergipe,240,Cachorro
Tocantins,106,Gato
Tocantins,183,Cachorro
